Target;Item;Condition;Sentence;Target_long;Completion;Part;Cloze;Cloze_Balanced;Association_Noun;Association_Verb;Association_MainVerb;Stimulus_tf;Prime;secretgpt2_surp;leo13b_surp;secretgpt2_bpe_split;leo13b_bpe_split
Kaffee;3;C;Sogleich putzt der Kellner, nachdem er die Bestellung aufgenommen hat,;den Kaffee;und gießt die Milch dazu.;0;0.0;0;5.8;2.3;3.0;Sogleich putzt der Kellner , nachdem er die Bestellung aufgenommen hat , den Kaffee;Bestellung;6.144454956054688;10.031087636947632;0;1
Kaffee;3;D;Sogleich putzt der Kellner, nachdem er das Radio angemacht hat,;den Kaffee;und gießt die Milch dazu.;0;0.0;0;3.5;3.5;3.0;Sogleich putzt der Kellner , nachdem er das Radio angemacht hat , den Kaffee;Radio;6.442130565643311;9.468486309051514;0;1
Ofen;4;A;Vorsichtig erhitzt der Bäckerlehrling, nachdem er die Brötchen geformt hat,;den Ofen;auf 180 Grad.;0;1.0;0;6.0;2.7;6.6;Vorsichtig erhitzt der Bäckerlehrling , nachdem er die Brötchen geformt hat , den Ofen;Brötchen;5.2116804122924805;5.933101227506995;0;1
Ofen;4;B;Vorsichtig erhitzt der Bäckerlehrling, nachdem er die Fenster gekippt hat,;den Ofen;auf 180 Grad.;0;0.75;0;2.4;1.3;6.6;Vorsichtig erhitzt der Bäckerlehrling , nachdem er die Fenster gekippt hat , den Ofen;Fenster;4.261850833892822;2.022979864384979;0;1
Ofen;4;C;Vorsichtig schlürft der Bäckerlehrling, nachdem er die Brötchen geformt hat,;den Ofen;auf 180 Grad.;0;0.0;0;6.0;2.7;1.3;Vorsichtig schlürft der Bäckerlehrling , nachdem er die Brötchen geformt hat , den Ofen;Brötchen;7.667851448059082;12.069437682628632;0;1
Ofen;4;D;Vorsichtig schlürft der Bäckerlehrling, nachdem er die Fenster gekippt hat,;den Ofen;auf 180 Grad.;0;0.08;0;2.4;1.3;1.3;Vorsichtig schlürft der Bäckerlehrling , nachdem er die Fenster gekippt hat , den Ofen;Fenster;8.010364532470703;15.767086803913116;0;1
Weinflasche;5;A;Zufrieden entkorkt der Winzer, der die Reben geschnitten hat,;die Weinflasche;für die Weinprobe.;0;1.0;1;5.9;1.7;6.8;Zufrieden entkorkt der Winzer , der die Reben geschnitten hat , die Weinflasche;Reben;9.127624034881592;5.661409083520994;1;1
Weinflasche;5;B;Zufrieden entkorkt der Winzer, der die Lohnabrechnungen beendet hat,;die Weinflasche;für die Weinprobe.;0;1.0;1;2.0;2.7;6.8;Zufrieden entkorkt der Winzer , der die Lohnabrechnungen beendet hat , die Weinflasche;Lohnabrechnungen;8.246514797210693;6.202015869610477;1;1
Weinflasche;5;C;Zufrieden glättet der Winzer, der die Reben geschnitten hat,;die Weinflasche;für die Weinprobe.;0;0.08;1;5.9;1.7;1.0;Zufrieden glättet der Winzer , der die Reben geschnitten hat , die Weinflasche;Reben;12.0654296875;11.941339787095785;1;1
Weinflasche;5;D;Zufrieden glättet der Winzer, der die Lohnabrechnungen beendet hat,;die Weinflasche;für die Weinprobe.;0;0.0;1;2.0;2.7;1.0;Zufrieden glättet der Winzer , der die Lohnabrechnungen beendet hat , die Weinflasche;Lohnabrechnungen;9.829893350601196;15.225395284593105;1;1
Ticket;6;A;Umgehend löst der Fahrgast, der den Automaten bedient,;das Ticket;für die Fahrt.;0;0.33;1;6.7;2.3;6.3;Umgehend löst der Fahrgast , der den Automaten bedient , das Ticket;Automaten;3.395623207092285;2.958599954843521;0;1
Ticket;6;B;Umgehend löst der Fahrgast, der die Einkaufstasche abstellt,;das Ticket;für die Fahrt.;0;0.33;1;1.3;1.3;6.3;Umgehend löst der Fahrgast , der die Einkaufstasche abstellt , das Ticket;Einkaufstasche;3.523824453353882;7.833292722702026;0;1
Ticket;6;C;Umgehend knotet der Fahrgast, der den Automaten bedient,;das Ticket;für die Fahrt.;0;0.0;1;6.7;2.3;1.2;Umgehend knotet der Fahrgast , der den Automaten bedient , das Ticket;Automaten;3.8259220123291016;4.6969380378723145;0;1
Ticket;6;D;Umgehend knotet der Fahrgast, der die Einkaufstasche abstellt,;das Ticket;für die Fahrt.;0;0.0;1;1.3;1.3;1.2;Umgehend knotet der Fahrgast , der die Einkaufstasche abstellt , das Ticket;Einkaufstasche;4.256195545196533;6.357164621353149;0;1
Sieg;7;A;Am Abend feiert der Gewinner, der den Pokal erhält,;den Sieg;mit einer Party.;0;0.5;0;6.8;4.4;6.2;Am Abend feiert der Gewinner , der den Pokal erhält , den Sieg;Pokal;4.787792682647705;3.2627716064453125;0;0
Sieg;7;B;Am Abend feiert der Gewinner, der das Eis isst,;den Sieg;mit einer Party.;0;0.75;0;1.8;2.0;6.2;Am Abend feiert der Gewinner , der das Eis isst , den Sieg;Eis;4.4586358070373535;1.1885647773742676;0;0
Sieg;7;C;Am Abend knabbert der Gewinner, der den Pokal erhält,;den Sieg;mit einer Party.;0;0.0;0;6.8;4.4;1.8;Am Abend knabbert der Gewinner , der den Pokal erhält , den Sieg;Pokal;7.380643367767334;9.54780387878418;0;0
Sieg;7;D;Am Abend knabbert der Gewinner, der das Eis isst,;den Sieg;mit einer Party.;0;0.0;0;1.8;2.0;1.8;Am Abend knabbert der Gewinner , der das Eis isst , den Sieg;Eis;7.972957611083984;8.711389541625977;0;0
Fisch;8;A;Endlich fängt der Angler, der den Köder auswarf,;den Fisch;für das Abendessen.;1;0.83;1;7.0;4.9;6.9;Endlich fängt der Angler , der den Köder auswarf , den Fisch;Köder;2.192152976989746;1.1802025362849236;0;1
Fisch;8;B;Endlich fängt der Angler, der die Zeitung las,;den Fisch;für das Abendessen.;1;0.83;1;2.0;1.2;6.9;Endlich fängt der Angler , der die Zeitung las , den Fisch;Zeitung;3.1248223781585693;0.9746373975649476;0;1
Fisch;8;C;Endlich baut der Angler, der den Köder auswarf,;den Fisch;für das Abendessen.;1;0.0;1;7.0;4.9;1.3;Endlich baut der Angler , der den Köder auswarf , den Fisch;Köder;3.558565378189087;1.551371306180954;0;1
Fisch;8;D;Endlich baut der Angler, der die Zeitung las,;den Fisch;für das Abendessen.;1;0.0;1;2.0;1.2;1.3;Endlich baut der Angler , der die Zeitung las , den Fisch;Zeitung;4.978607177734375;3.920997977256775;0;1
Unkraut;9;A;Am Nachmittag jätete der Schrebergärtner, der das Beet pflegte,;das Unkraut;und leerte den Kompost.;0;0.83;0;6.7;3.3;6.9;Am Nachmittag jätete der Schrebergärtner , der das Beet pflegte , das Unkraut;Beet;5.541705131530762;1.4481919166864827;0;1
Unkraut;9;B;Am Nachmittag jätete der Schrebergärtner, der die Sonne genoss,;das Unkraut;und leerte den Kompost.;0;0.67;0;3.3;1.4;6.9;Am Nachmittag jätete der Schrebergärtner , der die Sonne genoss , das Unkraut;Sonne;9.883502006530762;0.6967224923428148;0;1
Unkraut;9;C;Am Nachmittag polierte der Schrebergärtner, der das Beet pflegte,;das Unkraut;und leerte den Kompost.;0;0.0;0;6.7;3.3;1.2;Am Nachmittag polierte der Schrebergärtner , der das Beet pflegte , das Unkraut;Beet;5.983249187469482;8.916755686281249;0;1
Unkraut;9;D;Am Nachmittag polierte der Schrebergärtner, der die Sonne genoss,;das Unkraut;und leerte den Kompost.;0;0.0;0;3.3;1.4;1.2;Am Nachmittag polierte der Schrebergärtner , der die Sonne genoss , das Unkraut;Sonne;9.272969245910645;9.236054532113485;0;1
Klassenzimmer;10;A;Eine Weile lüftet der Lehrer, bevor er die Tafel beschreibt,;das Klassenzimmer;und nimmt ein Stück Kreide.;1;0.75;1;6.8;3.7;5.5;Eine Weile lüftet der Lehrer , bevor er die Tafel beschreibt , das Klassenzimmer;Tafel;9.809870719909668;3.1948807490989566;0;1
Klassenzimmer;10;B;Eine Weile lüftet der Lehrer, bevor er den Mantel aufhängt,;das Klassenzimmer;und nimmt ein Stück Kreide.;1;0.75;1;1.9;2.6;5.5;Eine Weile lüftet der Lehrer , bevor er den Mantel aufhängt , das Klassenzimmer;Mantel;9.258760452270508;4.9860572959296405;0;1
Klassenzimmer;10;C;Eine Weile bastelt der Lehrer, bevor er die Tafel beschreibt,;das Klassenzimmer;und nimmt ein Stück Kreide.;1;0.0;1;6.8;3.7;4.7;Eine Weile bastelt der Lehrer , bevor er die Tafel beschreibt , das Klassenzimmer;Tafel;9.938887596130373;8.70931146107614;0;1
Klassenzimmer;10;D;Eine Weile bastelt der Lehrer, bevor er den Mantel aufhängt,;das Klassenzimmer;und nimmt ein Stück Kreide.;1;0.0;1;1.9;2.6;4.7;Eine Weile bastelt der Lehrer , bevor er den Mantel aufhängt , das Klassenzimmer;Mantel;9.60817813873291;8.52414054889232;0;1
Käse;11;A;Schnell reibt der Chefkoch, während er die Nudeln kocht,;den Käse;und gibt Öl in die Pfanne.;0;0.5;1;5.2;4.6;6.4;Schnell reibt der Chefkoch , während er die Nudeln kocht , den Käse;Nudeln;6.326054573059082;3.588352385442704;0;1
Käse;11;B;Schnell reibt der Chefkoch, während er die Nachrichten hört,;den Käse;und gibt Öl in die Pfanne.;0;0.58;1;1.7;1.2;6.4;Schnell reibt der Chefkoch , während er die Nachrichten hört , den Käse;Nachrichten;6.919923782348633;5.833815153688192;0;1
Käse;11;C;Schnell flickt der Chefkoch, während er die Nudeln kocht,;den Käse;und gibt Öl in die Pfanne.;0;0.0;1;5.2;4.6;1.1;Schnell flickt der Chefkoch , während er die Nudeln kocht , den Käse;Nudeln;6.72819709777832;11.07358281314373;0;1
Käse;11;D;Schnell flickt der Chefkoch, während er die Nachrichten hört,;den Käse;und gibt Öl in die Pfanne.;0;0.0;1;1.7;1.2;1.1;Schnell flickt der Chefkoch , während er die Nachrichten hört , den Käse;Nachrichten;8.822110176086426;11.13703179359436;0;1
Bier;12;A;Vorgestern probierte der Braumeister, nachdem er den Kessel ausgeschaltet hatte,;das Bier;das zuvor gebraut wurde.;0;0.67;1;3.9;1.2;5.0;Vorgestern probierte der Braumeister , nachdem er den Kessel ausgeschaltet hatte , das Bier;Kessel;2.7028961181640625;4.128265857696533;0;1
Bier;12;B;Vorgestern probierte der Braumeister, nachdem er den Boden gewischt hatte,;das Bier;das zuvor gebraut wurde.;0;0.58;1;1.8;2.3;5.0;Vorgestern probierte der Braumeister , nachdem er den Boden gewischt hatte , das Bier;Boden;2.7474985122680664;3.8773131370544434;0;1
Bier;12;C;Vorgestern bemalte der Braumeister, nachdem er den Kessel ausgeschaltet hatte,;das Bier;das zuvor gebraut wurde.;0;0.0;1;3.9;1.2;1.1;Vorgestern bemalte der Braumeister , nachdem er den Kessel ausgeschaltet hatte , das Bier;Kessel;4.898735046386719;4.689721047878265;0;1
Bier;12;D;Vorgestern bemalte der Braumeister, nachdem er den Boden gewischt hatte,;das Bier;das zuvor gebraut wurde.;0;0.0;1;1.8;2.3;1.1;Vorgestern bemalte der Braumeister , nachdem er den Boden gewischt hatte , das Bier;Boden;4.349520206451416;4.237291991710663;0;1
Rasen;13;A;Eine Zeit lang mähte der Gartenhelfer, nachdem er den Garten umgegraben hatte,;den Rasen;hinter der Villa.;0;0.92;1;7.0;5.6;6.8;Eine Zeit lang mähte der Gartenhelfer , nachdem er den Garten umgegraben hatte , den Rasen;Garten;1.269193172454834;0.4326308211311698;0;1
Rasen;13;B;Eine Zeit lang mähte der Gartenhelfer, nachdem er die Garage aufgeräumt hatte,;den Rasen;hinter der Villa.;0;0.92;1;2.2;1.9;6.8;Eine Zeit lang mähte der Gartenhelfer , nachdem er die Garage aufgeräumt hatte , den Rasen;Garage;0.7724012136459351;0.23521164478734136;0;1
Rasen;13;C;Eine Zeit lang räucherte der Gartenhelfer, nachdem er den Garten umgegraben hatte,;den Rasen;hinter der Villa.;0;0.0;1;7.0;5.6;1.4;Eine Zeit lang räucherte der Gartenhelfer , nachdem er den Garten umgegraben hatte , den Rasen;Garten;5.316715717315674;4.791603934019804;0;1
Rasen;13;D;Eine Zeit lang räucherte der Gartenhelfer, nachdem er die Garage aufgeräumt hatte,;den Rasen;hinter der Villa.;0;0.0;1;2.2;1.9;1.4;Eine Zeit lang räucherte der Gartenhelfer , nachdem er die Garage aufgeräumt hatte , den Rasen;Garage;4.508735179901123;6.548104632645845;0;1
Straße;14;A;Achtsam pflasterte der Bauarbeiter, der die Absperrungen umging,;die Straße;und den Bürgersteig.;1;0.42;1;6.5;5.1;6.8;Achtsam pflasterte der Bauarbeiter , der die Absperrungen umging , die Straße;Absperrungen;5.083527565002441;1.8793445825576782;0;0
Straße;14;B;Achtsam pflasterte der Bauarbeiter, der die Steine schleppte,;die Straße;und den Bürgersteig.;1;0.42;1;5.7;2.0;6.8;Achtsam pflasterte der Bauarbeiter , der die Steine schleppte , die Straße;Steine;5.279069900512695;1.6726970672607422;0;0
Straße;14;C;Achtsam salzte der Bauarbeiter, der die Absperrungen umging,;die Straße;und den Bürgersteig.;1;0.08;1;6.5;5.1;2.0;Achtsam salzte der Bauarbeiter , der die Absperrungen umging , die Straße;Absperrungen;7.902674198150635;4.128380298614502;0;0
Straße;14;D;Achtsam salzte der Bauarbeiter, der die Steine schleppte,;die Straße;und den Bürgersteig.;1;0.0;1;5.7;2.0;2.0;Achtsam salzte der Bauarbeiter , der die Steine schleppte , die Straße;Steine;9.696955680847168;4.137123107910156;0;0
Glocken;15;A;Gestern läutete der Priester, nachdem er den Kirchturm erklommen hatte,;die Glocken;und freute sich.;0;1.0;1;6.7;1.1;7.0;Gestern läutete der Priester , nachdem er den Kirchturm erklommen hatte , die Glocken;Kirchturm;2.55134916305542;3.224319797474891;0;1
Glocken;15;B;Gestern läutete der Priester, nachdem er die Armbanduhr ausgezogen hatte,;die Glocken;und freute sich.;0;0.92;1;2.2;1.1;7.0;Gestern läutete der Priester , nachdem er die Armbanduhr ausgezogen hatte , die Glocken;Armbanduhr;4.432564735412598;3.5915886557195336;0;1
Glocken;15;C;Gestern faltete der Priester, nachdem er den Kirchturm erklommen hatte,;die Glocken;und freute sich.;0;0.0;1;6.7;1.1;1.0;Gestern faltete der Priester , nachdem er den Kirchturm erklommen hatte , die Glocken;Kirchturm;5.172791957855225;9.00054943561554;0;1
Glocken;15;D;Gestern faltete der Priester, nachdem er die Armbanduhr ausgezogen hatte,;die Glocken;und freute sich.;0;0.0;1;2.2;1.1;1.0;Gestern faltete der Priester , nachdem er die Armbanduhr ausgezogen hatte , die Glocken;Armbanduhr;9.500713348388672;12.022194147109985;0;1
Wunde;16;A;Rasch näht der Notarzt, der den Verletzten betreut,;die Wunde;mit fünf Stichen.;0;0.92;1;6.7;3.3;5.8;Rasch näht der Notarzt , der den Verletzten betreut , die Wunde;Verletzten;4.8827104568481445;1.3883685171604156;0;1
Wunde;16;B;Rasch näht der Notarzt, der den Ohrring trägt,;die Wunde;mit fünf Stichen.;0;0.92;1;3.2;1.8;5.8;Rasch näht der Notarzt , der den Ohrring trägt , die Wunde;Ohrring;8.431170463562012;1.4736863374710083;0;1
Wunde;16;C;Rasch versteckt der Notarzt, der den Verletzten betreut,;die Wunde;mit fünf Stichen.;0;0.0;1;6.7;3.3;2.0;Rasch versteckt der Notarzt , der den Verletzten betreut , die Wunde;Verletzten;6.408034801483154;4.797270894050598;0;1
Wunde;16;D;Rasch versteckt der Notarzt, der den Ohrring trägt,;die Wunde;mit fünf Stichen.;0;0.0;1;3.2;1.8;2.0;Rasch versteckt der Notarzt , der den Ohrring trägt , die Wunde;Ohrring;7.447278499603271;7.174774408340454;0;1
Hemd;17;A;Eilig bügelt der Geschäftsmann, nachdem er das Bügelbrett aufgestellt hat,;das Hemd;und die Hose.;0;0.75;1;6.4;1.5;6.9;Eilig bügelt der Geschäftsmann , nachdem er das Bügelbrett aufgestellt hat , das Hemd;Bügelbrett;7.484686374664307;0.4844094456639141;0;1
Hemd;17;B;Eilig bügelt der Geschäftsmann, nachdem er den Eistee ausgetrunken hat,;das Hemd;und die Hose.;0;0.67;1;1.4;1.2;6.9;Eilig bügelt der Geschäftsmann , nachdem er den Eistee ausgetrunken hat , das Hemd;Eistee;6.821413516998291;1.0702467209193856;0;1
Hemd;17;C;Eilig salzt der Geschäftsmann, nachdem er das Bügelbrett aufgestellt hat,;das Hemd;und die Hose.;0;0.0;1;6.4;1.5;1.0;Eilig salzt der Geschäftsmann , nachdem er das Bügelbrett aufgestellt hat , das Hemd;Bügelbrett;9.422286987304688;5.916085697710514;0;1
Hemd;17;D;Eilig salzt der Geschäftsmann, nachdem er den Eistee ausgetrunken hat,;das Hemd;und die Hose.;0;0.0;1;1.4;1.2;1.0;Eilig salzt der Geschäftsmann , nachdem er den Eistee ausgetrunken hat , das Hemd;Eistee;10.357865333557127;12.260095417499542;0;1
Auto;18;A;Schnell repariert der KFZ-Mechatroniker, der den Motor ausgetauscht hat,;das Auto;und übergibt es an den Kunden.;1;0.58;0;7.0;3.5;6.3;Schnell repariert der KFZ - Mechatroniker , der den Motor ausgetauscht hat , das Auto;Motor;3.377014398574829;2.7309446334838867;0;0
Auto;18;B;Schnell repariert der KFZ-Mechatroniker, der den Urlaub gebucht hat,;das Auto;und übergibt es an den Kunden.;1;0.75;0;5.0;3.1;6.3;Schnell repariert der KFZ - Mechatroniker , der den Urlaub gebucht hat , das Auto;Urlaub;1.813606858253479;1.2780989408493042;0;0
Auto;18;C;Schnell brät der KFZ-Mechatroniker, der den Motor ausgetauscht hat,;das Auto;und übergibt es an den Kunden.;1;0.0;0;7.0;3.5;1.1;Schnell brät der KFZ - Mechatroniker , der den Motor ausgetauscht hat , das Auto;Motor;3.075190305709839;3.7786033153533936;0;0
Auto;18;D;Schnell brät der KFZ-Mechatroniker, der den Urlaub gebucht hat,;das Auto;und übergibt es an den Kunden.;1;0.0;0;5.0;3.1;1.1;Schnell brät der KFZ - Mechatroniker , der den Urlaub gebucht hat , das Auto;Urlaub;3.52018404006958;6.133084297180176;0;0
Teig;19;A;Am Morgen knetet die Bäckerin, die den Kuchen backt,;den Teig;für das Brot.;2;1.0;1;6.9;6.9;6.6;Am Morgen knetet die Bäckerin , die den Kuchen backt , den Teig;Kuchen;2.3175837993621826;0.28133243491174653;0;1
Teig;19;B;Am Morgen knetet die Bäckerin, die den Stammgast begrüßt,;den Teig;für das Brot.;2;1.0;1;1.5;1.0;6.6;Am Morgen knetet die Bäckerin , die den Stammgast begrüßt , den Teig;Stammgast;4.579542636871338;0.46233153878711164;0;1
Teig;19;C;Am Morgen hört die Bäckerin, die den Kuchen backt,;den Teig;für das Brot.;2;0.0;1;6.9;6.9;1.2;Am Morgen hört die Bäckerin , die den Kuchen backt , den Teig;Kuchen;9.431527137756348;8.835838198661804;0;1
Teig;19;D;Am Morgen hört die Bäckerin, die den Stammgast begrüßt,;den Teig;für das Brot.;2;0.0;1;1.5;1.0;1.2;Am Morgen hört die Bäckerin , die den Stammgast begrüßt , den Teig;Stammgast;14.160696983337402;11.59880244731903;0;1
Steak;20;A;Am Nachmittag pfeffert der Grillmeister, bevor er die Kohle anzündet,;das Steak;und die Beilagen.;0;0.67;0;4.7;2.4;6.5;Am Nachmittag pfeffert der Grillmeister , bevor er die Kohle anzündet , das Steak;Kohle;8.830777037888765;5.356563473120332;1;1
Steak;20;B;Am Nachmittag pfeffert der Grillmeister, bevor er die Mücke verscheucht,;das Steak;und die Beilagen.;0;0.83;0;1.4;1.1;6.5;Am Nachmittag pfeffert der Grillmeister , bevor er die Mücke verscheucht , das Steak;Mücke;7.103944763541222;4.737368759699166;1;1
Steak;20;C;Am Nachmittag druckt der Grillmeister, bevor er die Kohle anzündet,;das Steak;und die Beilagen.;0;0.0;0;4.7;2.4;1.4;Am Nachmittag druckt der Grillmeister , bevor er die Kohle anzündet , das Steak;Kohle;9.847708992660046;10.224379181861877;1;1
Steak;20;D;Am Nachmittag druckt der Grillmeister, bevor er die Mücke verscheucht,;das Steak;und die Beilagen.;0;0.0;0;1.4;1.1;1.4;Am Nachmittag druckt der Grillmeister , bevor er die Mücke verscheucht , das Steak;Mücke;8.363438159227371;9.643012583255768;1;1
Feuer;21;A;Schnell entfacht der Brandstifter, der das Streichholz fallengelassen hat,;das Feuer;und rennt weg.;0;0.58;0;6.6;1.5;6.8;Schnell entfacht der Brandstifter , der das Streichholz fallengelassen hat , das Feuer;Streichholz;0.1809197068214416;0.7019681930541992;0;0
Feuer;21;B;Schnell entfacht der Brandstifter, der die Treppe hochgeklettert ist,;das Feuer;und rennt weg.;0;1.0;0;3.3;3.0;6.8;Schnell entfacht der Brandstifter , der die Treppe hochgeklettert ist , das Feuer;Treppe;0.2344675362110138;0.2667776346206665;0;0
Feuer;21;C;Schnell entstaubt der Brandstifter, der das Streichholz fallengelassen hat,;das Feuer;und rennt weg.;0;0.0;0;6.6;1.5;1.6;Schnell entstaubt der Brandstifter , der das Streichholz fallengelassen hat , das Feuer;Streichholz;2.6352498531341557;2.296337842941284;0;0
Feuer;21;D;Schnell entstaubt der Brandstifter, der die Treppe hochgeklettert ist,;das Feuer;und rennt weg.;0;0.0;0;3.3;3.0;1.6;Schnell entstaubt der Brandstifter , der die Treppe hochgeklettert ist , das Feuer;Treppe;3.914817333221436;3.5641212463378906;0;0
Haare;22;A;Nun kämmt der Friseur, nachdem er die Kopfhaut massiert hat,;die Haare;und holt den Föhn.;0;0.92;1;6.5;3.9;6.8;Nun kämmt der Friseur , nachdem er die Kopfhaut massiert hat , die Haare;Kopfhaut;2.1141886711120605;0.44243145547807217;0;1
Haare;22;B;Nun kämmt der Friseur, nachdem er den Cappuccino ausgetrunken hat,;die Haare;und holt den Föhn.;0;1.0;1;1.0;1.0;6.8;Nun kämmt der Friseur , nachdem er den Cappuccino ausgetrunken hat , die Haare;Cappuccino;2.5937092304229736;0.9418360507115722;0;1
Haare;22;C;Nun speichert der Friseur, nachdem er die Kopfhaut massiert hat,;die Haare;und holt den Föhn.;0;0.17;1;6.5;3.9;1.2;Nun speichert der Friseur , nachdem er die Kopfhaut massiert hat , die Haare;Kopfhaut;1.5593935251235962;2.044539760798216;0;1
Haare;22;D;Nun speichert der Friseur, nachdem er den Cappuccino ausgetrunken hat,;die Haare;und holt den Föhn.;0;0.0;1;1.0;1.0;1.2;Nun speichert der Friseur , nachdem er den Cappuccino ausgetrunken hat , die Haare;Cappuccino;3.39556622505188;8.46794667840004;0;1
Bleistift;23;A;Flink spitzte der Zeichner, der die Karikatur entwarf,;den Bleistift;und machte sich wieder an die Arbeit.;0;1.0;1;6.0;3.3;6.7;Flink spitzte der Zeichner , der die Karikatur entwarf , den Bleistift;Karikatur;11.17241982370615;2.5698212103452533;1;1
Bleistift;23;B;Flink spitzte der Zeichner, der den Atlas öffnete,;den Bleistift;und machte sich wieder an die Arbeit.;0;1.0;1;2.3;1.6;6.7;Flink spitzte der Zeichner , der den Atlas öffnete , den Bleistift;Atlas;10.845413517206907;5.557949006557465;1;1
Bleistift;23;C;Flink knotete der Zeichner, der die Karikatur entwarf,;den Bleistift;und machte sich wieder an die Arbeit.;0;0.0;1;6.0;3.3;1.3;Flink knotete der Zeichner , der die Karikatur entwarf , den Bleistift;Karikatur;9.402905919589102;10.446538779884577;1;1
Bleistift;23;D;Flink knotete der Zeichner, der den Atlas öffnete,;den Bleistift;und machte sich wieder an die Arbeit.;0;0.0;1;2.3;1.6;1.3;Flink knotete der Zeichner , der den Atlas öffnete , den Bleistift;Atlas;9.481833050958812;12.207822049036622;1;1
Patienten;24;A;Heute impft der Arzt, nachdem er die Spritze befüllt hat,;den Patienten;gegen Tetanus.;0;0.25;0;6.7;2.0;6.5;Heute impft der Arzt , nachdem er die Spritze befüllt hat , den Patienten;Spritze;1.1962387561798096;1.9770042872987688;0;1
Patienten;24;B;Heute impft der Arzt, nachdem er die Schublade geschlossen hat,;den Patienten;gegen Tetanus.;0;0.42;0;2.1;1.3;6.5;Heute impft der Arzt , nachdem er die Schublade geschlossen hat , den Patienten;Schublade;2.241649866104126;1.662195407319814;0;1
Patienten;24;C;Heute feuert der Arzt, nachdem er die Spritze befüllt hat,;den Patienten;gegen Tetanus.;0;0.0;0;6.7;2.0;1.5;Heute feuert der Arzt , nachdem er die Spritze befüllt hat , den Patienten;Spritze;2.4656083583831787;6.624109739903361;0;1
Patienten;24;D;Heute feuert der Arzt, nachdem er die Schublade geschlossen hat,;den Patienten;gegen Tetanus.;0;0.0;0;2.1;1.3;1.5;Heute feuert der Arzt , nachdem er die Schublade geschlossen hat , den Patienten;Schublade;4.026686191558838;3.8700752183794975;0;1
Leiche;25;A;Unverzüglich obduziert der Pathologe, nachdem er die Mordakte gelesen hat,;die Leiche;in der Leichenhalle.;0;0.75;1;6.6;1.5;7.0;Unverzüglich obduziert der Pathologe , nachdem er die Mordakte gelesen hat , die Leiche;Mordakte;2.8117880821228027;0.8178925290703773;0;1
